FIPCO,TotPop
"5-DIGIT COUNTY FIPS CD" ,"Total Persons"
18051,31913
18053,74169
18055,30410
18057,108936
18059,45527
18061,29890
18063,75717
18065,48139
18067,80827
18069,35427
18071,37730
18073,24960
18075,21512
18077,29797
18079,23661
18081,88109
18083,39884
18085,65294
18087,29477
18089,475594
18091,107066
18093,42836
18095,130669
18097,797159
18099,42182
18101,10369
18103,36897
18105,108978
18107,34436
18109,55920
18111,13551
18113,37877
18115,5315
18117,18409
18119,17281
18121,15410
18123,19107
18125,12509
18127,128932
18129,25968
18131,12643
18133,30315
18135,27148
18137,24616
18139,18129
18141,247052
18143,20991
18145,40307
18147,19490
18149,22747
18151,27446
18153,18993
18155,7738
18157,130598
18159,16119
18161,6976
18163,165058
18165,16773
18167,106107
18169,35069
18171,8176
18173,44920
18175,23717
18177,71951
18179,25948
18181,23265
18183,27651
19001,8409
19003,4866
19005,13855
19007,13743
19009,7334
19011,22429
19013,123798
19015,25186
19017,22813
19019,20844
19021,19965
19023,15731
19025,11508
19027,21423
19029,15128
19031,17381
19033,46733
19035,14098
19037,13295
19039,8287
19041,17585
19043,19054
19045,51040
19047,16775
19049,29755
19051,8312
19053,8338
19055,18035
19057,42614
19059,14909
19061,86403
19063,11569
19065,21843
19067,17058
19069,11364
19071,8226
19073,10045
19075,12029
19077,10935
19079,16071
19081,12638
19083,19094
19085,14730
19087,19226
19089,9809
19091,10756
19093,8365
19095,14630
19097,19950
19099,34795
19101,16310
19103,96119
19105,19444
19107,11624
19109,18591
19111,38687
19113,168767
19115,11592
19117,9070
19119,11952
19121,12483
19123,21522
19125,30001
19127,38276
19129,13202
19131,10928
19133,10034
19135,8114
19137,12076
19139,39907
19141,15444
19143,7267
19145,16870
19147,10669
19149,23388
19151,9525
19153,327140
19155,82628
19157,19033
19159,5420
19161,12324
19163,150979
19165,13230
19167,29903
19169,74252
19171,17419
19173,7114
19175,12750
19177,7676
19179,35687
19181,36033
19183,19612
19185,7067
19187,40342
19189,12122
19191,20847
19193,98276
19195,7991
19197,14269
20001,14638
20003,7803
20005,16932
20007,5874
20009,29382
20011,14966
20013,11128
20015,50580
20017,3021
20019,4407
20021,21374
20023,3243
20025,2418
20027,9158
20029,11023
20031,8404
20033,2313
20035,36915
20037,35568
20039,4021
20041,18958
20043,8134
20045,81798
20047,3787
20049,3327
20051,26004
20053,6586
20055,33070
20057,27463
20059,21994
20061,30453
20063,3231
20065,3543
20067,7159
20069,5396
20071,1774
20073,7847
20075,2388
20077,7124
20079,31028
20081,3886
20083,2177
20085,11525
20087,15905
20089,4251
20091,355054
20093,4027
20095,8292
20097,3660
20099,23693
20101,2375
20103,64371
20105,3653
20107,8254
20109,3081
20111,34732
20113,27268
20115,12888
20117,11705
20119,4247
20121,23466
20123,7203
20125,38816
20127,6198
20129,3480
20131,10446
20133,17035
20135,4033
20137,5947
20139,15248
20141,4867
20143,5634
20145,7555
20147,6590
20149,16128
20151,9702
20153,3404
20155,62389
20157,6482
20159,10610
20161,67139
20163,6039
20165,3842
20167,7835
20169,49301
20171,5289
20173,403662
20175,18743
20177,160976
20179,3043
20181,6926
20183,5078
20185,5365
20187,2333
20189,5048
20191,25841
20193,8258
20195,3694
20197,6603
20199,1821
20201,7073
20203,2758
20205,10289
20207,4116
20209,161993
21001,15360
21003,14628
21005,14571
21007,7902
21009,34001
21011,9692
21013,31506
21015,57589
21017,19236
21019,51150
21021,25641
21023,7766
21025,15703
21027,16312
21029,47567
21031,11245
21033,13232
21035,30735
21037,83866
21039,5238
21041,9292
21043,24340
21045,14211
21047,68941
21049,29496
21051,21746
21053,9135
21055,9196
21057,6784
21059,87189
21061,10357
21063,6455
21065,14614
21067,225366
21069,12292
21071,43586
21073,43781
21075,8271
21077,5393
21079,11579
21081,15737
21083,33550
21085,21050
21087,10371
21089,36742
21091,7864
21093,89240
21095,36574
21097,16248
21099,14890
21101,43044
21103,12823
21105,5566
21107,46126
21109,11955
21111,664937
21113,30508
21115,23248
21117,142031
21119,17906
21121,29676
21123,11679
21125,43438
21127,13998
21129,7422
21131,13642
21133,27000
21135,13029
21137,20045
21139,9062
21141,24416
21143,6624
21145,62879
21147,15603
21149,9628
21151,57508
21153,13077
21155,16499
21157,27205
21159,12526
21161,16666
21163,24170
21165,5092
21167,19148
21169,8963
21171,11401
21173,19561
21175,11648
21177,31318
21179,29710
21181,6725
21183,21105
21185,33263
21187,9035
21189,5036
21191,12036
21193,30283
21195,72583
21197,11686
21199,49489
21201,2124
21203,14803
21205,20353
21207,14716
21209,23867
21211,24824
21213,15145
21215,6801
21217,21146
21219,10940
21221,10361
21223,6090
21225,16557
21227,76673
21229,10441
21231,17468
21233,13955
21235,33326
21237,6503
21239,19955
22001,55882
22003,21226
22005,58214
22007,22753
22009,39159
22011,30083
22013,15979
22015,86088
22017,248253
22019,168134
22021,9810
22023,9260
22025,11065
22027,17405
22029,20828
22031,25346
22033,380105
22035,9709
22037,19211
22039,33274
22041,22387
22043,17526
22045,68297
22047,31049
22049,15705
22051,448306
22053,30722
22055,164762
22057,85860
22059,13662
22061,41745
22063,70526
22065,12463
22067,31938
22069,36689
22071,496938
22073,142191
22075,25575
22077,22540
22079,131556
22081,9387
22083,20629
22085,22646
22087,66631
22089,42437
22091,9874
22093,20879
22095,39996
22097,80331
22099,43978
22101,58086
22103,144508
22105,85709
22107,7103
22109,96982
22111,20690
22113,50055
22115,61961
22117,43185
22119,41989
22121,19419
22123,12093
22125,12915
22127,16269
23001,105259
23003,86936
23005,243135
23007,29008
23009,46948
23011,115904
23013,36310
23015,30357
23017,52602
23019,146601
23021,18653
23023,33535
23025,49767
23027,33018
23029,35308
23031,164587
24001,74946
24003,427239
24005,692134
24009,51372
24011,27035
24013,123372
24015,71347
24017,101154
24019,30236
24021,150208
24023,28138
24025,182132
24027,187328
24029,17842
24031,757027
24033,729268
24035,33953
24037,75974
24039,23440
24041,30549
24043,121393
24045,74339
24047,35028
24510,736014
25001,186605
25003,139352
25005,506325
25007,11639
25009,670080
25011,70092
25013,456310
25015,146568
25017,1398468
25019,6012
25021,616087
25023,435276
25025,663906
25027,709705
26001,10145
26003,8972
26005,90509
26007,30605
26009,18185
26011,14931
26013,7954
26015,50057
26017,111723
26019,12200
26021,161378
26023,41502
26025,135982
26027,49477
26029,21468
26031,21398
26033,34604
26035,24952
26037,57883
26039,12260
26041,37780
26043,26831
26045,92879
26047,25040
26049,430459
26051,21896
26053,18052
26055,64273
26057,38982
26059,43431
26061,35446
26063,34951
26065,281912
26067,57024
26069,30209
26071,13175
26073,54624
26075,149756
26077,223411
26079,13497
26081,500631
26083,1701
26085,8583
26087,74768
26089,16527
26091,91476
26093,115645
26095,5763
26097,10674
26099,717400
26101,21265
26103,70887
26105,25537
26107,37308
26109,24920
26111,75651
26113,12147
26115,133600
26117,53059
26119,8936
26121,158983
26123,38202
26125,1083592
26127,22454
26129,18681
26131,8854
26133,20146
26135,7842
26137,17957
26139,187768
26141,13743
26143,19776
26145,211946
26147,145607
26149,58913
26151,39928
26153,8302
26155,69770
26157,55498
26159,70060
26161,282937
26163,2111687
26165,26360
27001,12425
27003,243641
27005,27881
27007,34384
27009,30185
27011,6285
27013,54044
27015,26984
27017,29259
27019,47915
27021,21791
27023,13228
27025,30521
27027,50422
